price,type,superficie,nombre_chambres,nombre_sdb,category,area,city
300000,Appartements,170,2,2,Location,Hann maristes,Dakar
1000000,Appartements,170,1,3,Location,Almadies,Dakar
500000,Villas,170,4,5,Location,Yoff,Dakar
200000,Appartements,170,1,1,Location,Ouakam,Dakar
120000,Appartements,150,2,2,Location,Keur ndiaye lô,Dakar
1300000,Appartements,190,3,3,Location,Point-e,Dakar
1300000,Appartements,170,3,3,Location,Sacré-cœur,Dakar
300000,Appartements,160,2,3,Location,Sacré-cœur,Dakar
350000,Appartements,170,3,3,Location,Cambérène,Dakar
200000,Appartements,170,1,1,Location,Dakar,Dakar
1000000,Appartements,180,3,2,Location,Mamelles,Dakar
30000,Appartements,170,1,1,Location,Sacré-cœur,Dakar
550000,Appartements,170,3,3,Location,Mamelles,Dakar
5500000,Villas,514,4,6,Location,Fann,Dakar
600000,Appartements,170,3,3,Location,Amitié,Dakar
650000,Appartements,170,3,3,Location,Cité keur gorgui,Dakar
1000000,Appartements,178,3,3,Location,Mermoz,Dakar
800000,Appartements,115,2,2,Location,Point-e,Dakar
1290000,Villas,280,4,4,Location,Virage,Dakar
500000,Appartements,170,2,2,Location,Almadies,Dakar
200000,Appartements,100,2,1,Location,Ouest foire,Dakar
349000,Appartements,170,2,3,Location,Almadies,Dakar
250000,Appartements,170,1,1,Location,Ouest foire,Dakar
1400000,Appartements,170,2,2,Location,Dakar,Dakar
350000,Appartements,170,1,1,Location,Almadies,Dakar
360000,Appartements,170,3,3,Location,Mermoz,Dakar
1300000,Appartements,200,3,5,Location,Virage,Dakar
350000,Villas,150,4,4,Location,Ouest foire,Dakar
1600000,Villas,285,4,4,Location,Mamelles,Dakar
932400,Appartements,150,3,3,Location,Ngor,Dakar
750000,Appartements,164,3,3,Location,Mamelles,Dakar
3000000,Appartements,250,3,5,Location,Fann,Dakar
1100000,Villas,170,4,4,Location,Almadies,Dakar
450000,Appartements,170,3,3,Location,Ngor,Dakar
